;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14900;Osoba prywatna;2010;77.75;564.4;2020-12-03 12:00:22;https://www.otomoto.pl/oferta/peugeot-107-maly-ale-wariat-idealny-maly-przebieg-polski-salon-ID6DuART.html#0a857a667b
2;11900;Firma;2012;88.71;546.22;2020-12-02 12:01:07;https://www.otomoto.pl/oferta/hyundai-i10-1-1b-lift-star-edition-serwisowany-stan-bdb-gwarancja-ID6DrPg3.html#87ece6333c
3;12200;Osoba prywatna;2013;66.35;461.69;2020-12-02 12:00:28;https://www.otomoto.pl/oferta/mitsubishi-colt-krajowy-1-wlasciciel-1-3-jak-nowy-ID6Duvjh.html#0a857a667b
4;11900;Firma;2010;77.75;388.55;2020-12-03 12:00:26;https://www.otomoto.pl/oferta/renault-thalia-renault-thalia-krajowy-i-wlasciciel-maly-przebieg-ID6DuyxO.html#0a857a667b
5;9800;Osoba prywatna;2012;74.64;317.07;2020-12-02 12:00:53;https://www.otomoto.pl/oferta/renault-twingo-stan-idealny-z-niemiec-klima-ID6Do8aF.html#87ece6333c
