;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14500;Osoba prywatna;2012;10.34;722.95;2020-09-18 22:02:46;https://www.otomoto.pl/oferta/chevrolet-spark-chevrolet-spark-1-0-czerwony-jak-szminka-chanel-rouge-najlepszy-ID6D9vtp.html#545b0ee3e0
2;13990;Osoba prywatna;2011;74.62;613.66;2020-09-18 22:09:06;https://www.otomoto.pl/oferta/fiat-panda-1-2-salon-polska-33tys-km-jeden-wlasciciel-bezwypadkowy-ID6DhmBr.html#820ea2d8ef
3;13500;Osoba prywatna;2012;21.82;575.4;2020-09-18 22:07:41;https://www.otomoto.pl/oferta/fiat-panda-niski-przebieg-46-tys-stan-bdb-godne-uwagi-zapraszam-ID6DjIRP.html#804fe7cf9f
4;8200;Osoba prywatna;2013;52.68;560.67;2020-09-18 22:07:35;https://www.otomoto.pl/oferta/daewoo-matiz-matiz-2013r-zadbany-ID6Di0dy.html#804fe7cf9f
5;15500;Osoba prywatna;2014;11.76;521.52;2020-09-18 22:10:26;https://www.otomoto.pl/oferta/renault-twingo-niski-przebieg-lift-klima-dodatkowo-komplet-opon-zimowych-ID6Di49O.html#8e0ef0cdc7
