;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14000;Firma;2009;74.98;1244.93;2020-08-30 13:58:42;https://www.otomoto.pl/oferta/toyota-yaris-zadbany-bezwypadkowy-benzyna-klimatyzacja-rocznik-2009-ID6DgIwK.html#7c7c6c9821
2;12900;Osoba prywatna;2009;6.68;710.39;2020-08-30 13:50:09;https://www.otomoto.pl/oferta/suzuki-splash-suzuki-splash-1-2-ID6Di4kl.html#f13ec4da38
3;14500;Osoba prywatna;2011;74.62;592.08;2020-08-30 14:05:34;https://www.otomoto.pl/oferta/fiat-panda-1-2-salon-polska-33tys-km-jeden-wlasciciel-bezwypadkowy-ID6DhmBr.html#ef4539b696
4;8700;Osoba prywatna;2007;6.89;585.91;2020-08-30 14:04:18;https://www.otomoto.pl/oferta/renault-clio-1-2-benzyna-63-tys-przebiegu-1-wlasciciel-ID6DhpYo.html#fe7fbb45fa
5;9999;Firma;2006;95.31;528.22;2020-08-30 13:56:03;https://www.otomoto.pl/oferta/opel-meriva-przebieg-37-tys-km-1-wlasciciel-klima-ID6DgOrX.html#f6adc9fb9b
