;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;8000;Osoba prywatna;2018;75.39;2525.5;2020-08-02 12:10:20;https://www.otomoto.pl/oferta/ford-fiesta-odstapie-leasing-ostatnie-6-rat-i-korzystny-wykup-ford-fiesta-2018-ID6Df6AZ.html#ea15d4de09
2;14500;Osoba prywatna;2012;10.34;722.95;2020-08-02 12:33:07;https://www.otomoto.pl/oferta/chevrolet-spark-chevrolet-spark-1-0-czerwony-jak-szminka-chanel-rouge-najlepszy-ID6D9vtp.html#14971b3ea2
3;15499;Osoba prywatna;2012;33.65;717.94;2020-08-02 12:37:11;https://www.otomoto.pl/oferta/peugeot-107-peugeot-107-piekny-ID6Defcd.html#ef4539b696
4;8500;Osoba prywatna;2006;66.35;695.87;2020-08-02 12:32:04;https://www.otomoto.pl/oferta/ford-mondeo-3-0-v6-o-mocy-204km-ID6D8g2B.html#c683694217
5;14500;Osoba prywatna;2014;71.04;601.06;2020-08-02 12:28:58;https://www.otomoto.pl/oferta/dacia-sandero-sandero-2014-ID6Dck31.html#840ad7ddca
