;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14500;Osoba prywatna;2012;10.34;722.95;2020-10-03 18:03:23;https://www.otomoto.pl/oferta/chevrolet-spark-chevrolet-spark-1-0-czerwony-jak-szminka-chanel-rouge-najlepszy-ID6D9vtp.html#87ece6333c
2;15500;Osoba prywatna;2010;6.89;577.11;2020-10-01 12:00:29;https://www.otomoto.pl/oferta/chevrolet-aveo-chevrolet-aveo-niski-przebieg-garazowane-pierwszy-wlasciciel-ID6Dmj53.html#0a857a667b
3;10900;Osoba prywatna;2010;13.49;486.48;2020-09-30 12:00:23;https://www.otomoto.pl/oferta/chevrolet-aveo-aveo-1-2-i-salon-polska-i-wlasciciel-oryginalny-przebieg-76000-km-ID6DmiiV.html#0a857a667b
4;14400;Osoba prywatna;2012;79.02;361.31;2020-09-30 12:00:12;https://www.otomoto.pl/oferta/citroen-c1-1-0-benzyna-klimatyzacja-56tys-km-z-niemiec-po-oplatach-z-gwarancja-ID6DmivP.html#0a857a667b
5;13900;Osoba prywatna;2012;11.76;358.59;2020-09-30 12:00:20;https://www.otomoto.pl/oferta/fiat-panda-fiat-panda-1-2-ID6DmiKo.html#0a857a667b
