;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14000;Firma;2009;74.98;1244.93;2020-08-23 16:27:24;https://www.otomoto.pl/oferta/toyota-yaris-zadbany-bezwypadkowy-benzyna-klimatyzacja-rocznik-2009-ID6DgIwK.html#1df4363223
2;8900;Osoba prywatna;2007;6.89;572.75;2020-08-23 16:14:58;https://www.otomoto.pl/oferta/renault-clio-1-2-benzyna-63-tys-przebiegu-1-wlasciciel-ID6DhpYo.html#e241cd794a
3;9999;Firma;2006;95.31;528.22;2020-08-23 16:25:57;https://www.otomoto.pl/oferta/opel-meriva-przebieg-37-tys-km-1-wlasciciel-klima-ID6DgOrX.html#840ad7ddca
4;13500;Osoba prywatna;2008;92.07;499.76;2020-08-23 16:25:27;https://www.otomoto.pl/oferta/saturn-vue-opel-antara-3-6-v6-4x4-skorka-uszkodzona-skrzynia-ID6Daan3.html#c6b2d4cc6a
5;13900;Osoba prywatna;2011;11.76;496.25;2020-08-23 16:25:49;https://www.otomoto.pl/oferta/renault-clio-renault-clio-iii-1-2-zadbany-egzemlarz-ID6Dg1qy.html#3665ffa1e7
