;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;11900;Firma;2012;88.83;545.96;2020-11-15 15:07:33;https://www.otomoto.pl/oferta/hyundai-i10-1-1b-lift-star-edition-serwisowany-stan-bdb-gwarancja-ID6DrPg3.html#820ea2d8ef
2;16000;Osoba prywatna;2012;0.56;490.57;2020-11-15 15:34:20;https://www.otomoto.pl/oferta/mini-one-ii-lci-1-6-98-km-klimajak-nowyserwis-asopo-oplatach-ID6DprOX.html#87ece6333c
3;14900;Osoba prywatna;2010;96.48;391.05;2020-11-15 15:32:33;https://www.otomoto.pl/oferta/chevrolet-spark-spark-lt-1-2-16v-serwis-parktronic-klima-elektryka-alu-relingi-ID6DmN0W.html#545b0ee3e0
4;14444;Osoba prywatna;2010;18.81;389.73;2020-11-15 15:05:00;https://www.otomoto.pl/oferta/fiat-punto-evo-1-4-benzyna-maly-przebieg-klimatyzacja-stan-perfekcyjny-prywatnie-ID6DsaqV.html#0a857a667b
5;12500;Osoba prywatna;2010;63.89;386.07;2020-11-15 15:05:09;https://www.otomoto.pl/oferta/chevrolet-aveo-chevrolet-aveo-1-2-rejestracja-2011-salon-pl-klima-el-szyby-ID6DsyqR.html#0a857a667b
