;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;10900;Osoba prywatna;2010;13.49;486.48;2020-10-15 12:00:36;https://www.otomoto.pl/oferta/chevrolet-aveo-aveo-1-2-i-salon-polska-i-wlasciciel-oryginalny-przebieg-76000-km-ID6DmiiV.html#87ece6333c
2;9900;Osoba prywatna;2010;5.58;483.0;2020-10-18 12:00:57;https://www.otomoto.pl/oferta/chevrolet-aveo-takze-dla-inwalidy-roczny-gaz-1-wl-2-kpl-opon-nowe-sprzeglo-ID6DoMoE.html#fac749dc1c
3;13900;Osoba prywatna;2011;18.81;434.23;2020-10-14 12:00:30;https://www.otomoto.pl/oferta/fiat-punto-evo-1-4-benzyna-bardzo-maly-przebieg-klimatyzacja-stan-perfekcyjny-ID6Dm6Kw.html#5f10546440
4;13800;Osoba prywatna;2011;87.73;432.59;2020-10-16 12:00:17;https://www.otomoto.pl/oferta/fiat-panda-2011r-przebieg-45-tys-km-polski-salon-mozliwa-zamiana-ID6Dou8e.html#0a857a667b
5;13800;Osoba prywatna;2012;79.02;377.02;2020-10-15 12:00:33;https://www.otomoto.pl/oferta/citroen-c1-1-0-benzyna-klimatyzacja-56tys-km-z-niemiec-po-oplatach-z-gwarancja-ID6DmivP.html#aeb3ceee18
