;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;13550;Firma;2012;63.19;326.3;2020-10-08 14:50:15;https://www.otomoto.pl/oferta/chevrolet-spark-jak-nowy-56-tys-km-przebiegu-ladny-kolor-ID6CHwx7.html#5f10546440
2;14900;Firma;2012;69.48;316.1;2020-10-08 14:50:03;https://www.otomoto.pl/oferta/fiat-panda-sj64857-1-2-dynamic-69kmkrajowyi-wlasciclelbezwypadkowy-ID6DnhDE.html#0a857a667b
3;15300;Osoba prywatna;2011;103.66;284.29;2020-10-07 12:00:16;https://www.otomoto.pl/oferta/ford-ka-polski-salon-bezwypadkowy-ID6Dn58q.html#0a857a667b
4;15500;Firma;2010;71.37;281.68;2020-10-07 12:00:34;https://www.otomoto.pl/oferta/nissan-micra-oryginalny-przebieg-50tys-2010r-z-klima-z-niemiec-nissan-micra-ID6DcHMc.html#87ece6333c
5;15900;Osoba prywatna;2013;120.31;271.6;2020-10-09 12:00:18;https://www.otomoto.pl/oferta/mitsubishi-space-star-63-000-km-z-niemiec-zarejestrowany-serwisowany-do-konca-klima-idealny-ID6Dnlo3.html#0a857a667b
