;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;16000;Osoba prywatna;2012;0.56;490.57;2020-10-31 12:00:21;https://www.otomoto.pl/oferta/mini-one-ii-lci-1-6-98-km-klimajak-nowyserwis-asopo-oplatach-ID6DprOX.html#0a857a667b
2;9990;Firma;2010;60.5;478.63;2020-10-29 12:00:13;https://www.otomoto.pl/oferta/hyundai-i10-krajowy-i-wlasciciel-serwis-tylko-45200km-okazja-ID6DqNEk.html#0a857a667b
3;16000;Osoba prywatna;2010;96.48;364.16;2020-10-29 12:00:35;https://www.otomoto.pl/oferta/chevrolet-spark-spark-lt-1-2-16v-serwis-parktronic-klima-elektryka-alu-relingi-ID6DmN0W.html#87ece6333c
4;13990;Osoba prywatna;2012;90.09;360.94;2020-10-31 12:00:40;https://www.otomoto.pl/oferta/fiat-panda-jak-nowa-1-2-klimatyzacja-maly-przebieg-56tys-polecam-serwisowana-ID6DqTvi.html#b9a5e40875
5;11900;Firma;2010;140.08;327.68;2020-10-28 12:00:49;https://www.otomoto.pl/oferta/fiat-panda-fiat-panda-1-2-benzynka-70-km-41tys-km-klimatyzacja-wspomaganie-ID6DmLRL.html#aeb3ceee18
