;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;15000;Osoba prywatna;2010;6.68;548.18;2020-11-25 16:21:54;https://www.otomoto.pl/oferta/peugeot-207-peugeot-207-1-4-ID6DtSBb.html#545b0ee3e0
2;13900;Osoba prywatna;2012;6.89;540.76;2020-11-27 13:56:53;https://www.otomoto.pl/oferta/peugeot-107-ID6Du9M1.html#0a857a667b
3;13500;Osoba prywatna;2010;18.81;416.98;2020-11-26 16:20:16;https://www.otomoto.pl/oferta/fiat-punto-evo-1-4-benzyna-maly-przebieg-klima-prywatnie-obnizona-cena-o-1000-zl-ID6DsaqV.html#5f10546440
4;13900;Firma;2010;17.7;402.81;2020-11-25 16:21:43;https://www.otomoto.pl/oferta/toyota-aygo-maly-przebieg-5-drzwi-klima-ID6DtSLv.html#0a857a667b
5;15200;Firma;2012;63.19;373.29;2020-11-27 13:57:48;https://www.otomoto.pl/oferta/suzuki-alto-ekonomiczne-1-0-z-sekwencyjnym-gazem-bardzo-maly-przebieg-4-drzwi-ID6DsmWs.html#fac749dc1c
