;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;8000;Osoba prywatna;2009;11.76;952.81;2020-08-09 12:03:33;https://www.otomoto.pl/oferta/toyota-aygo-2010r-klimatyzacja-bardzo-maly-przebieg-ID6D8m6B.html#e190e5f55c
2;9700;Osoba prywatna;2005;6.68;496.47;2020-08-05 12:05:54;https://www.otomoto.pl/oferta/renault-clio-1-6-16v-salon-polska-ogloszenie-prywatne-ID6DfvOI.html#e241cd794a
3;13530;Osoba prywatna;2005;19.06;398.58;2020-08-07 12:04:22;https://www.otomoto.pl/oferta/mazda-6-2-0-benzyna-tempomat-ze-szwajcarii-fv-23-ID6DfSUG.html#b667e6b2e5
4;8500;Osoba prywatna;2005;49.74;375.69;2020-08-07 12:03:39;https://www.otomoto.pl/oferta/mazda-3-mazda-3-na-sprzedaz-ID6DfTBY.html#3b3c4fcfa9
5;9800;Osoba prywatna;2009;6.89;366.21;2020-08-05 12:07:11;https://www.otomoto.pl/oferta/citroen-c2-citroen-c2-w-super-stanie-ID6CUOiI.html#2fa70dd38a
