;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14500;Osoba prywatna;2012;10.34;722.95;2020-09-26 12:17:34;https://www.otomoto.pl/oferta/chevrolet-spark-chevrolet-spark-1-0-czerwony-jak-szminka-chanel-rouge-najlepszy-ID6D9vtp.html#8e0ef0cdc7
2;13900;Osoba prywatna;2011;74.62;608.79;2020-09-26 12:13:10;https://www.otomoto.pl/oferta/fiat-panda-1-2-salon-polska-33tys-km-jeden-wlasciciel-bezwypadkowy-2011-ID6DlHcV.html#0a857a667b
3;15500;Osoba prywatna;2014;11.76;521.52;2020-09-26 12:16:53;https://www.otomoto.pl/oferta/renault-twingo-niski-przebieg-lift-klima-dodatkowo-komplet-opon-zimowych-ID6Di49O.html#804fe7cf9f
4;13900;Osoba prywatna;2013;63.81;384.7;2020-09-26 12:13:07;https://www.otomoto.pl/oferta/fiat-punto-evo-idealny-stan-maly-przebieg-tylko-68000-tkm-okazja-ID6DiK6p.html#0a857a667b
5;12990;Osoba prywatna;2012;6.89;380.3;2020-09-26 12:14:53;https://www.otomoto.pl/oferta/dacia-sandero-2-wlasciciel-niski-przebieg-od-4-lat-jezdze-bez-zadnych-problemow-ID6DitIP.html#5f10546440
