;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;8990;Osoba prywatna;2005;127.06;551.35;2020-09-02 12:01:27;https://www.otomoto.pl/oferta/mitsubishi-colt-1-3-16v-95-km-super-stan-tylko-51000-km-100-bezw-ID6DifLL.html#3b3c4fcfa9
2;8900;Firma;2008;39.28;405.32;2020-09-02 12:01:37;https://www.otomoto.pl/oferta/renault-twingo-tylko-47-tys-km-klimatyzacja-100-bezwypadkowy-ID6Difz0.html#3b3c4fcfa9
3;14999;Osoba prywatna;2009;74.56;392.37;2020-09-04 12:03:22;https://www.otomoto.pl/oferta/peugeot-207-1-4-benzyna-5drzwi-klimatyzacja-krajowy-i-wlasciciel-przebieg-ID6Diwbd.html#e241cd794a
4;8700;Osoba prywatna;2009;6.89;391.16;2020-09-02 12:01:41;https://www.otomoto.pl/oferta/citroen-c2-citroen-c2-w-super-stanie-ID6CUOiI.html#b667e6b2e5
5;8000;Osoba prywatna;2007;96.48;390.75;2020-09-04 12:02:53;https://www.otomoto.pl/oferta/peugeot-308-sprzedam-peugeot-308-ID6DiwPG.html#b667e6b2e5
