;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;14900;Osoba prywatna;2010;18.84;652.4;2020-10-21 12:00:36;https://www.otomoto.pl/oferta/peugeot-107-peugeot-107-ID6Dp82U.html#0a857a667b
2;9990;Osoba prywatna;2010;74.62;573.95;2020-10-23 12:00:14;https://www.otomoto.pl/oferta/chevrolet-lacetti-1-6benzyna-74tys-km-bezwypadkowy-piekny-kolor-ID6DpQrR.html#0a857a667b
3;10100;Osoba prywatna;2012;135.4;541.49;2020-10-22 12:00:38;https://www.otomoto.pl/oferta/lada-niva-spr-z-niemiec-1-7-benzyna-ID6DlWVv.html#aeb3ceee18
4;15000;Osoba prywatna;2014;11.76;538.9;2020-10-21 12:01:03;https://www.otomoto.pl/oferta/renault-twingo-niski-przebieg-lift-klima-dodatkowo-komplet-opon-zimowych-ID6Di49O.html#87ece6333c
5;9800;Osoba prywatna;2010;84.9;335.52;2020-10-24 13:58:24;https://www.otomoto.pl/oferta/renault-clio-2010r-przebieg-85-tys-km-okazja-ID6DpYsB.html#0a857a667b
