;price;owner;prod_year;distance;overall;scraping_timestamp;link
1;19900;Firma;2013;60.18;1112.32;2020-07-28 12:36:31;https://www.otomoto.pl/oferta/ford-fiesta-1-3benzynaklimalift100-bezwypadkowaprosto-z-niemiec-ID6DextN.html#bfb9555fd3
2;14500;Osoba prywatna;2012;10.34;722.95;2020-07-27 12:56:11;https://www.otomoto.pl/oferta/chevrolet-spark-chevrolet-spark-1-0-czerwony-jak-szminka-chanel-rouge-najlepszy-ID6D9vtp.html#662c1a503f
3;15499;Osoba prywatna;2012;33.65;717.94;2020-07-27 13:05:30;https://www.otomoto.pl/oferta/peugeot-107-peugeot-107-piekny-ID6Defcd.html#82b51fa9e6
4;8500;Osoba prywatna;2006;66.35;695.87;2020-07-27 12:53:19;https://www.otomoto.pl/oferta/ford-mondeo-3-0-v6-o-mocy-204km-ID6D8g2B.html#63b9616810
5;17900;Osoba prywatna;2009;76.37;643.67;2020-07-27 13:19:46;https://www.otomoto.pl/oferta/citroen-c3-picasso-citroen-c-3-picasso-benzyna-ideal-30-000-tysiecy-kilometrow-hit-ID6DdRdm.html#c2f87d3cf2
